yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs
安泰经济与管理学院,吴冲锋,教授                    ,金融工程学                                        ,003-(2012-2013-2)FI408(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
东中院3-303(1-16周).吴冲锋
东中院3-303(1-16周).周春阳
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,80
安泰经济与管理学院,吴冲锋,教授                    ,金融工程学                                        ,002-(2012-2013-2)FI408(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第9节--第10节
东中院3-102(1-16周).吴冲锋
东中院3-102(1-16周).周春阳
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,81
安泰经济与管理学院,蓝海,讲师(高校)              ,金融工程学                                        ,004-(2012-2013-2)FI408(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
东中院4-505(1-16周).蓝海
",英语授课                                                                                                                                                                                                                                                            ,2010,2012-2013,2,17
安泰经济与管理学院,张丽,讲师(高校)              ,公司金融学                                        ,004-(2012-2013-2)FI410(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第3节
.(1-16周).张丽 讲师(高校)
","限经管类-体育班选,上课地点:法华校区南楼504                                                                                                                                                                                                                          ",2010,2012-2013,2,32
安泰经济与管理学院,朱海洋,副教授                  ,金融学论文报告（A类）                             ,001-(2012-2013-2)FI415(教学班)                    ,68,4.0,"行课安排为第1周 --- 第15周,其中:
星期二  第11节--第13节
东上院101(1-15周).朱海洋
",                                                                                                                                                                                                                                                                    ,2009,2012-2013,2,113
安泰经济与管理学院,万相伟,讲师(高校)              ,金融学                                            ,002-(2012-2013-2)FI420(教学班)                    ,48,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第3节--第5节
下院409(1-16周).万相伟
",英语授课                                                                                                                                                                                                                                                            ,2012,2012-2013,2,73
安泰经济与管理学院,万相伟,讲师(高校)              ,金融学                                            ,003-(2012-2013-2)FI420(教学班)                    ,48,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第7节--第9节
下院307(1-16周).万相伟
",                                                                                                                                                                                                                                                                    ,2012,2012-2013,2,98
安泰经济与管理学院,沈思玮,副教授                  ,金融学                                            ,004-(2012-2013-2)FI420(教学班)                    ,48,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第6节--第8节
下院305(1-16周).沈思玮
",                                                                                                                                                                                                                                                                    ,2012,2012-2013,2,110
安泰经济与管理学院,沈思玮,副教授                  ,金融学                                            ,001-(2012-2013-2)FI420(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期五  第3节--第5节
.(1-16周).沈思玮 副教授
",仅限体育班选，上课地点：法华校区南楼501                                                                                                                                                                                                                             ,2011,2012-2013,2,28
安泰经济与管理学院,周瑜,讲师(高校)              ,国际经济与贸易论文报告（A类）                     ,002-(2012-2013-2)FI422(教学班)                    ,68,4.0,"行课安排为第1周 --- 第15周,其中:
星期三  第11节--第13节
.(1-15周).周瑜 讲师(高校)
",限宁夏大学                                                                                                                                                                                                                                                          ,2009,2012-2013,2,12
安泰经济与管理学院,周瑜,讲师(高校)              ,国际经济与贸易论文报告（A类）                     ,001-(2012-2013-2)FI422(教学班)                    ,68,4.0,"行课安排为第1周 --- 第15周,其中:
星期三  第11节--第13节
东下院300(1-15周).周瑜 讲师(高校)
",                                                                                                                                                                                                                                                                    ,2009,2012-2013,2,75
安泰经济与管理学院,蔡明超,副教授                  ,证券投资分析                                      ,003-(2012-2013-2)FI453(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
上院201(1-16周).蔡明超
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,72
安泰经济与管理学院,周颖,副教授                  ,广告策划                                          ,001-(2012-2013-2)JC300(教学班)                    ,34,2.0,"行课安排为第1周 --- 第11周,其中:
星期五  第6节--第8节
东下院104(1-11周).周颖
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,44
安泰经济与管理学院,王英萍,讲师(高校)              ,商法                                              ,001-(2012-2013-2)LA016(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第1节--第4节
上院203(19-22周).王英萍 讲师(高校)
星期四  第1节--第4节
上院203(19-22周).王英萍 讲师(高校)
",安泰经管学院和国贸二专学生除外                                                                                                                                                                                                                                      ,0,2012-2013,2,57
安泰经济与管理学院,葛冬冬,副教授                  ,运筹学                                            ,001-(2012-2013-2)MA250(教学班)                    ,48,3.0,"行课安排为第1周 --- 第16周,其中:
星期二  第11节--第13节
上院302(1-16周).葛冬冬
",仅限2011级工科－管理本硕贯通班学生修读                                                                                                                                                                                                                              ,0,2012-2013,2,27
安泰经济与管理学院,陈景秋,副教授                  ,管理心理学                                        ,001-(2012-2013-2)PS908(教学班)                    ,32,2.0,"行课安排为第6周 --- 第16周,其中:
星期四  第6节--第8节
上院101(6-16周).陈景秋 副教授
","英语授课
仅限理工科学生选课                                                                                                                                                                                                                                        ",0,2012-2013,2,42
安泰经济与管理学院,王金桃,副教授                  ,"公共安全与危机管理：基础和方法
                  ",002-(2012-2013-2)PU066(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第9节--第10节
上院104(1-16周).王金桃
",仅限大二、大三、大四学生                                                                                                                                                                                                                                            ,0,2012-2013,2,49
安泰经济与管理学院,顾孟迪,教授                    ,不确定情况下的决策问题                            ,002-(2012-2013-2)SP159(教学班)                    ,32,2.0,"行课安排为第1周 --- 第11周,其中:
星期一  第6节--第8节
下院103(1-11周).顾孟迪
",对经济管理方面的科研有兴趣，数理基础较好，可冲抵社会科学类通识核心学分                                                                                                                                                                                              ,2012,2012-2013,2,12
安泰经济与管理学院,顾海英,教授                    ,低碳发展的经济性思考                              ,001-(2012-2013-2)SP201(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
中院403(1-16周).顾海英
",可冲抵社会科学类通识核心学分                                                                                                                                                                                                                                        ,2012,2012-2013,2,30
安泰经济与管理学院,赵红蕾,高等学校教师            ,认识实习与社会实践（经管类）                      ,003-(2012-2013-2)XP210(教学班)                    ,102,6.0,"行课安排为第1周 --- 第16周,其中:
星期日  第7节--第8节
.(1-16周).赵红蕾 高等学校教师
",虚拟时间；经济学选                                                                                                                                                                                                                                                  ,2010,2012-2013,2,182
安泰经济与管理学院,赵红蕾,高等学校教师            ,认识实习与社会实践（经管类）                      ,001-(2012-2013-2)XP210(教学班)                    ,102,6.0,"行课安排为第1周 --- 第16周,其中:
星期六  第7节--第8节
.(1-16周).no 赵红蕾 高等学校教师
",虚拟时间；                                                                                                                                                                                                                                                          ,2010,2012-2013,2,52
安泰经济与管理学院,赵红蕾,高等学校教师            ,认识实习与社会实践（经管类）                      ,002-(2012-2013-2)XP210(教学班)                    ,102,6.0,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第2节
.(1-16周).赵红蕾 高等学校教师
",虚拟时间。仅供经管类体育班选                                                                                                                                                                                                                                        ,2010,2012-2013,2,29
安泰经济与管理学院,邹礼瑞,副教授                  ,技术创新导论(Z类)                                 ,002-(2012-2013-2)ZZ002(教学班)                    ,32,2.0,"行课安排为第10周 --- 第17周,其中:
星期二  第7节--第10节
东下院400(10-17周).邹礼瑞 副教授
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,88
安泰经济与管理学院,邹礼瑞,副教授                  ,技术创新导论(Z类)                                 ,001-(2012-2013-2)ZZ002(教学班)                    ,32,2.0,"行课安排为第10周 --- 第17周,其中:
星期二  第1节--第4节
东下院400(10-17周).邹礼瑞 副教授
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,53
安泰经济与管理学院,王青,讲师(高校)              ,组织行为学(Z类)                                   ,002-(2012-2013-2)ZZ003(教学班)                    ,32,2.0,"行课安排为第10周 --- 第17周,其中:
星期二  第7节--第10节
东下院100(10-17周).王青 讲师(高校)
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,53
安泰经济与管理学院,王青,讲师(高校)              ,组织行为学(Z类)                                   ,001-(2012-2013-2)ZZ003(教学班)                    ,32,2.0,"行课安排为第10周 --- 第17周,其中:
星期二  第1节--第4节
东下院100(10-17周).王青 讲师(高校)
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,88
安泰经济与管理学院,陈忠,教授                    ,系统科学专题(Z类)                                 ,002-(2012-2013-2)ZZ013(教学班)                    ,18,1.0,"行课安排为第12周 --- 第18周,其中:
星期三  第7节--第10节
东下院100(12-18周).陈忠 教授
","12,13,14及17，18周上课，                                                                                                                                                                                                                                            ",0,2012-2013,2,71
安泰经济与管理学院,陈忠,教授                    ,系统科学专题(Z类)                                 ,001-(2012-2013-2)ZZ013(教学班)                    ,18,1.0,"行课安排为第12周 --- 第18周,其中:
星期三  第1节--第4节
东下院100(12-18周).陈忠 教授
","12,13,14及17，18周上课，                                                                                                                                                                                                                                            ",0,2012-2013,2,70
安泰经济与管理学院,陈宪,教授                    ,经济类讲座（Z类）                                 ,001-(2012-2013-2)ZZ024(教学班)                    ,3,0.5,"行课安排为第12周 --- 第12周,其中:
星期四  第1节--第4节
东下院400(12-12周).陈宪 教授
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,141
国际与公共事务学院,莫童,副教授                  ,WTO法律文件选读                                   ,002-(2012-2013-2)AM008(教学班)                    ,36,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第7节--第10节
上院301(19-22周).莫童 副教授
星期四  第7节--第10节
上院301(19-22周).莫童 副教授
","双语
                                                                                                                                                                                                                                                              ",0,2012-2013,2,52
国际与公共事务学院,莫童,副教授                  ,WTO法律文件选读                                   ,001-(2012-2013-2)AM008(教学班)                    ,36,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
上院108(1-16周).莫童
",双语授课                                                                                                                                                                                                                                                            ,0,2012-2013,2,66
国际与公共事务学院,徐家良,教授                    ,毕业设计（论文）（行政管理）                      ,001-(2012-2013-2)BS405(教学班)                    ,272,16.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).徐家良 教授
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,57
国际与公共事务学院,许永国,讲师(高校)              ,微观经济学（C类）                                 ,001-(2012-2013-2)EC203(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第5节
上院102(1-16周).许永国
",                                                                                                                                                                                                                                                                    ,2012,2012-2013,2,79
国际与公共事务学院,李明明,副教授                  ,大国战略                                          ,001-(2012-2013-2)PU021(教学班)                    ,36,2.0,"行课安排为第1周 --- 第11周,其中:
星期二  第11节--第13节
上院104(1-11周).李明明
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,81
国际与公共事务学院,陈拯,讲师(高校)              ,国际安全                                          ,003-(2012-2013-2)PU040(教学班)                    ,34,2.0,"行课安排为第19周 --- 第22周,其中:
星期一  第7节--第10节
上院203(19-22周).陈拯 讲师(高校)
星期三  第7节--第10节
上院203(19-22周).陈拯 讲师(高校)
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,99
国际与公共事务学院,陈拯,讲师(高校)              ,国际安全                                          ,002-(2012-2013-2)PU040(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
上院110(1-16周).陈拯
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,76
国际与公共事务学院,魏英杰,讲师(高校)              ,电影与政治                                        ,001-(2012-2013-2)PU043(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第9节--第10节
上院208(1-16周).魏英杰
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,58
国际与公共事务学院,林冈,教授                    ,公民社会与非政府组织                              ,001-(2012-2013-2)PU046(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期三  第1节--第4节
上院102(19-22周).林冈 教授
上院102(19-22周).丁仁方 教授
星期五  第1节--第4节
上院102(19-22周).林冈 教授
上院102(19-22周).丁仁方 教授
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,53
国际与公共事务学院,倪世雄,高等学校教师            ,当代中国外交热点议题分析                          ,002-(2012-2013-2)PU047(教学班)                    ,32,2.0,"行课安排为第19周 --- 第21周,其中:
星期一  第7节--第10节
上院500(19-21周).倪世雄 高等学校教师
星期三  第7节--第10节
上院500(19-21周).倪世雄 高等学校教师
星期五  第7节--第10节
上院500(19-21周).倪世雄 高等学校教师
",任课老师:倪世雄等                                                                                                                                                                                                                                                   ,0,2012-2013,2,201
国际与公共事务学院,魏英杰,讲师(高校)              ,博弈论初基                                        ,001-(2012-2013-2)PU059(教学班)                    ,32,2.0,"行课安排为第1周 --- 第11周,其中:
星期二  第11节--第13节
上院422(1-11周).魏英杰
",全英文授课                                                                                                                                                                                                                                                          ,0,2012-2013,2,49
国际与公共事务学院,刘帮成,副教授                  ,社会观察与探索                                    ,001-(2012-2013-2)PU060(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第9节--第10节
上院201(1-16周).刘帮成
",具备一定的统计学基础；                                                                                                                                                                                                                                              ,0,2012-2013,2,43
国际与公共事务学院,刘帮成,副教授                  ,社会观察与探索                                    ,002-(2012-2013-2)PU060(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第1节--第4节
上院110(19-22周).刘帮成 副教授
星期四  第1节--第4节
上院110(19-22周).刘帮成 副教授
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,59
国际与公共事务学院,卢永彬,讲师(高校)              ,领导力学习与实践                                  ,002-(2012-2013-2)PU062(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第9节--第10节
上院422(1-16周).卢永彬
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,47
国际与公共事务学院,卢永彬,讲师(高校)              ,领导力学习与实践                                  ,003-(2012-2013-2)PU062(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第7节--第10节
上院104(19-22周).卢永彬 高等学校教师
上院104(19-22周).郭寿旺 高等学校教师
星期四  第7节--第10节
上院104(19-22周).卢永彬 高等学校教师
上院104(19-22周).郭寿旺 高等学校教师
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,62
国际与公共事务学院,章伟,讲师(高校)              ,治理之善：公共行政热点解析                        ,002-(2012-2013-2)PU071(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第7节--第10节
中院105(19-22周).章伟 讲师(高校)
星期四  第7节--第10节
中院105(19-22周).章伟 讲师(高校)
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,88
国际与公共事务学院,章伟,讲师(高校)              ,治理之善：公共行政热点解析                        ,001-(2012-2013-2)PU071(教学班)                    ,32,2.0,"行课安排为第1周 --- 第11周,其中:
星期二  第11节--第13节
上院106(1-11周).章伟
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,51
国际与公共事务学院,邵宗海,高等学校教师            ,新形势下的两岸关系专题研究                        ,002-(2012-2013-2)PU072(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期三  第1节--第4节
上院101(19-22周).邵宗海 高等学校教师
星期五  第1节--第4节
上院101(19-22周).邵宗海 高等学校教师
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,27
国际与公共事务学院,陈慧荣,讲师(高校)              ,中国发展的政治经济学                              ,001-(2012-2013-2)PU079(教学班)                    ,32,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第9节--第10节
上院303(1-16周).陈慧荣
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,76
国际与公共事务学院,陈慧荣,讲师(高校)              ,中国发展的政治经济学                              ,002-(2012-2013-2)PU079(教学班)                    ,32,2.0,"行课安排为第19周 --- 第22周,其中:
星期一  第1节--第4节
中院106(19-22周).陈慧荣 讲师(高校)
星期三  第1节--第4节
中院106(19-22周).陈慧荣 讲师(高校)
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,41
国际与公共事务学院,章伟,讲师(高校)              ,公共行政学                                        ,001-(2012-2013-2)PU104(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期五  第6节--第8节
下院205(1-16周).章伟
",                                                                                                                                                                                                                                                                    ,2012,2012-2013,2,72
国际与公共事务学院,黄琪轩,讲师(高校)              ,管理技能与创新实践（一）                          ,001-(2012-2013-2)PU108(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第2节
下院405(1-16周).黄琪轩
",不定期进行                                                                                                                                                                                                                                                          ,2012,2012-2013,2,79
国际与公共事务学院,Erik Ringmar,教授                    ,国际政治概论                                      ,001-(2012-2013-2)PU200(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第5节
下院302(1-16周).Erik Ringmar
",全英语授课                                                                                                                                                                                                                                                          ,2012,2012-2013,2,29
国际与公共事务学院,翟新,教授                    ,国际政治概论                                      ,002-(2012-2013-2)PU200(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第5节
下院306(1-16周).翟新
",                                                                                                                                                                                                                                                                    ,2012,2012-2013,2,48
国际与公共事务学院,郑晓华,讲师(高校)              ,政治学                                            ,001-(2012-2013-2)PU202(教学班)                    ,54,3.0,"行课安排为第1周 --- 第15周,其中:
星期二  第11节--第13节
上院201(1-15周).郑晓华
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,45
国际与公共事务学院,蒋红珍,副教授                  ,行政法学                                          ,001-(2012-2013-2)PU207(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第3节
东中院3-202(1-16周).蒋红珍
东中院3-202(1-16周).李学尧
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,57
国际与公共事务学院,蒋红珍,副教授                  ,行政法学                                          ,002-(2012-2013-2)PU207(教学班)                    ,54,3.0,"行课安排为第1周 --- 第15周,其中:
星期三  第11节--第13节
上院203(1-15周).蒋红珍
上院203(1-15周).李学尧
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,45
国际与公共事务学院,陈永国,副教授                  ,管理技能与创新实践（三）                          ,001-(2012-2013-2)PU226(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第3节--第4节
上院210(1-16周).陈永国
上院210(1-16周).郑晓华
",不定期进行                                                                                                                                                                                                                                                          ,2011,2012-2013,2,61
国际与公共事务学院,赵大海,副教授                  ,公共经济学                                        ,001-(2012-2013-2)PU230(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第6节--第8节
东中院3-402(1-16周).赵大海
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,70
国际与公共事务学院,郭俊华,教授                    ,行政伦理                                          ,001-(2012-2013-2)PU231(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第3节
东中院3-202(1-16周).郭俊华
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,65
国际与公共事务学院,陈永国,副教授                  ,公共管理定量分析                                  ,001-(2012-2013-2)PU233(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第3节
.(1-16周).陈永国 讲师(高校)
",计算中心201室                                                                                                                                                                                                                                                       ,2011,2012-2013,2,66
国际与公共事务学院,胡润忠,副教授                  ,公共管理专业英语                                  ,001-(2012-2013-2)PU234(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第3节
东中院4-501(1-16周).胡润忠
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,69
国际与公共事务学院,刘帮成,副教授                  ,公共部门人力资源管理                              ,002-(2012-2013-2)PU302(教学班)                    ,54,3.0,"行课安排为第1周 --- 第15周,其中:
星期一  第11节--第13节
上院107(1-15周).刘帮成 副教授
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,32
国际与公共事务学院,卢永彬,讲师(高校)              ,领导科学与艺术                                    ,001-(2012-2013-2)PU316(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第1节--第2节
东上院203(1-16周).卢永彬
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,41
国际与公共事务学院,徐家良,教授                    ,专业实习（行政管理）                              ,001-(2012-2013-2)PU318(教学班)                    ,68,4.0,"行课安排为第23周 --- 第26周,其中:
星期六  第1节--第2节
.(23-26周).徐家良 教授
",小学期结束后进行                                                                                                                                                                                                                                                    ,2010,2012-2013,2,57
国际与公共事务学院,陈尧,副教授                  ,中国政府与政治                                    ,001-(2012-2013-2)PU322(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第3节
东下院207(1-16周).陈尧
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,59
国际与公共事务学院,王郁,副教授                  ,城市发展与管理                                    ,001-(2012-2013-2)PU323(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期二  第6节--第8节
东上院501(1-16周).王郁
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,59
国际与公共事务学院,陈拯,讲师(高校)              ,全球问题与全球治理                                ,001-(2012-2013-2)PU325(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第2节
东上院203(1-16周).陈拯
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,60
国际与公共事务学院,周建国,副教授                  ,社区管理与社会工作                                ,001-(2012-2013-2)PU336(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第3节--第4节
东上院305(1-16周).周建国
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,11
国际与公共事务学院,黄琪轩,讲师(高校)              ,国际政治经济学导论                                ,001-(2012-2013-2)PU338(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
东下院301(1-16周).黄琪轩
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,45
国际与公共事务学院,左亚娜,讲师(高校)              ,国际战略                                          ,001-(2012-2013-2)PU340(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东下院110(1-16周).左亚娜
",双语授课                                                                                                                                                                                                                                                            ,2010,2012-2013,2,33
国际与公共事务学院,赵大海,副教授                  ,公共经济与经济政策概论（B类）                     ,001-(2012-2013-2)PU352(教学班)                    ,54,3.0,"行课安排为第1周 --- 第15周,其中:
星期四  第11节--第13节
上院202(1-15周).赵大海 副教授
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,27
国际与公共事务学院,莫童,副教授                  ,国有资产管理与资本经营                            ,001-(2012-2013-2)PU402(教学班)                    ,54,3.0,"行课安排为第1周 --- 第15周,其中:
星期四  第11节--第13节
上院204(1-15周).莫童
",                                                                                                                                                                                                                                                                    ,2009,2012-2013,2,51
国际与公共事务学院,王郁,副教授                  ,城市管理与发展                                    ,001-(2012-2013-2)PU404(教学班)                    ,51,3.0,"行课安排为第1周 --- 第15周,其中:
星期二  第11节--第13节
中院302(1-15周).王郁
",                                                                                                                                                                                                                                                                    ,2009,2012-2013,2,40
国际与公共事务学院,樊博,副教授                  ,电子政务                                          ,001-(2012-2013-2)PU406(教学班)                    ,51,3.0,"行课安排为第1周 --- 第8周,其中:
星期一  第6节--第8节
东上院305(1-8周).樊博
星期四  第6节--第8节
东上院305(1-8周).樊博
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,58
国际与公共事务学院,徐家良,教授                    ,行政管理论文报告                                  ,001-(2012-2013-2)PU423(教学班)                    ,18,1.0,"行课安排为第1周 --- 第15周,其中:
星期五  第11节--第13节
中院102(1-15周).徐家良
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,46
国际与公共事务学院,周建国,副教授                  ,当代中国社会问题                                  ,002-(2012-2013-2)PU902(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第7节--第8节
上院101(1-16周).周建国
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,100
